generation,rank_1,rank_2,swapAccepted
1288000,1,3,1
1289000,2,4,1
1290000,2,4,1
1291000,2,4,1
1292000,1,2,1
1293000,1,4,1
1294000,1,2,1
1295000,1,3,1
1296000,2,3,0
1297000,1,3,1
1298000,1,2,1
1299000,2,4,1
1300000,3,4,1
1301000,2,3,1
1302000,2,4,1
1303000,2,3,1
1304000,2,3,1
1305000,1,3,1
1306000,1,2,1
1307000,1,4,1
1308000,2,4,1
1309000,1,4,1
1310000,2,4,1
1311000,3,4,1
1312000,2,3,1
1313000,3,4,1
1314000,2,3,1
1315000,2,4,1
1316000,1,4,1
1317000,2,3,1
1318000,1,2,1
1319000,1,2,1
1320000,1,3,1
1321000,1,2,1
1322000,2,3,1
1323000,1,3,1
1324000,2,4,0
1325000,1,3,1
1326000,3,4,1
1327000,1,3,1
1328000,1,3,1
1329000,1,4,1
1330000,1,3,1
1331000,1,4,1
1332000,1,2,1
1333000,1,2,1
1334000,1,3,1
1335000,3,4,1
1336000,2,4,1
1337000,2,4,1
1338000,2,4,0
1339000,2,4,0
1340000,3,4,1
1341000,3,4,1
1342000,2,3,1
1343000,1,4,1
1344000,2,3,0
1345000,1,4,1
1346000,2,3,1
1347000,3,4,1
1348000,1,4,1
1349000,3,4,1
1350000,1,4,1
1351000,1,3,1
1352000,2,3,1
1353000,2,3,1
1354000,1,4,1
1355000,2,4,0
1356000,2,4,1
1357000,2,3,1
1358000,1,2,1
1359000,2,4,1
1360000,2,3,1
1361000,2,3,1
1362000,2,4,1
1363000,1,3,1
1364000,2,4,1
1365000,2,3,1
1366000,1,2,1
1367000,3,4,0
1368000,1,4,1
1369000,3,4,1
1370000,1,4,1
1371000,1,3,1
1372000,1,4,0
1373000,2,4,0
1374000,3,4,1
1375000,2,4,1
1376000,1,3,1
1377000,2,3,1
1378000,2,3,1
1379000,1,4,1
1380000,1,4,1
1381000,2,3,0
1382000,1,2,1
1383000,1,4,1
1384000,1,4,1
1385000,1,2,1
1386000,1,2,1
1387000,2,3,0
1388000,1,4,0
1389000,2,4,1
1390000,3,4,0
1391000,2,4,1
1392000,1,4,1
1393000,2,4,1
1394000,3,4,1
1395000,3,4,1
1396000,1,2,1
1397000,1,2,1
1398000,2,3,1
1399000,1,4,0
1400000,3,4,1
1401000,2,3,1
1402000,3,4,1
1403000,1,4,1
1404000,2,4,1
1405000,1,4,1
1406000,1,2,1
1407000,1,3,1
1408000,2,4,1
1409000,2,4,1
1410000,2,4,1
1411000,2,4,1
1412000,2,4,1
1413000,1,4,1
1414000,1,2,1
1415000,1,2,1
1416000,2,4,0
1417000,1,3,1
1418000,3,4,1
1419000,1,4,1
1420000,1,3,1
1421000,3,4,1
1422000,2,3,1
1423000,3,4,1
1424000,1,3,1
1425000,2,3,1
1426000,1,4,1
1427000,2,3,1
1428000,3,4,1
1429000,3,4,1
1430000,1,4,1
1431000,1,3,1
1432000,3,4,1
1433000,2,3,1
1434000,1,2,1
1435000,2,3,1
1436000,2,3,1
1437000,2,3,1
1438000,3,4,1
1439000,3,4,1
1440000,1,2,0
1441000,1,3,1
1442000,1,3,1
1443000,1,2,1
1444000,1,2,1
1445000,2,4,0
1446000,2,3,1
1447000,2,3,1
1448000,3,4,1
1449000,1,4,0
1450000,1,4,1
1451000,2,3,1
1452000,1,3,1
1453000,1,3,1
1454000,2,4,1
1455000,1,4,0
1456000,1,4,1
1457000,2,4,0
1458000,1,4,0
1459000,2,3,1
1460000,3,4,1
1461000,1,2,1
1462000,1,3,1
1463000,2,3,1
1464000,2,4,1
1465000,1,4,1
1466000,1,3,0
1467000,2,4,1
1468000,1,2,1
1469000,2,4,1
1470000,1,2,1
1471000,1,3,0
1472000,2,3,1
1473000,1,3,0
1474000,2,3,1
1475000,1,3,1
1476000,1,3,1
1477000,1,2,1
1478000,1,4,1
1479000,2,4,1
1480000,1,3,0
1481000,2,3,0
1482000,1,3,1
1483000,1,4,1
1484000,1,4,0
1485000,1,4,1
1486000,1,2,1
1487000,1,3,1
1488000,3,4,1
1489000,1,4,1
1490000,1,3,1
1491000,2,3,1
